x,value
463.755,61.6010185
464.4,61.5555334
465.045,61.5031515
465.69,61.4691587
466.335,61.4769391
466.98,61.5520782
467.625,61.6985039
468.27,61.8608499
468.915,62.0048318
469.56,62.1695224
470.205,62.4028546
470.85,62.6626411
471.495,62.8530619
472.14,62.9725971
472.785,63.0695084
473.43,63.1710874
474.075,63.2727294
474.72,63.3645051
475.365,63.4612717
476.01,63.5839851
476.655,63.7194159
477.3,63.8320323
477.945,63.9011297
478.59,63.9432259
479.235,64.0034419
479.88,64.118629
480.525,64.2941148
481.17,64.5190741
481.815,64.7811263
482.46,65.0553903
483.105,65.2629447
483.75,65.3459595
484.395,65.3430282
485.04,65.3140084
485.685,65.3034073
486.33,65.3447789
486.975,65.4891811
487.62,65.7897117
488.265,66.1143265
488.91,66.2915498
489.555,66.3188863
490.2,66.2509731
490.845,66.1510356
491.49,66.0733209
492.135,66.0427201
492.78,66.0361219
493.425,66.000143
494.07,65.906349
494.715,65.7822842
495.36,65.6750571
496.005,65.612459
496.65,65.5994221
497.295,65.56715978
497.94,66.044301
498.585,66.1166908
499.23,66.255309
499.875,66.5994317
500.52,66.7637314
501.165,66.8648058
501.81,66.9521517
502.455,67.08385
503.1,67.3108089
503.745,67.5499771
504.39,67.6508318
505.035,67.6400468
505.68,67.6079249
506.325,67.604006
506.97,67.6592933
507.615,67.8012683
508.26,68.0065959
508.905,68.2557432
509.55,68.5712176
510.195,68.93114
510.84,69.250025
511.485,69.4572609
512.13,69.5610531
512.775,69.6048526
513.42,69.6271844
514.065,69.6536024
514.71,69.6950545
515.355,69.746167
516,69.7896132
516.645,69.7991852
517.29,69.7520726
517.935,69.6537593
518.58,69.5347243
519.225,69.4266844
519.87,69.3545624
520.515,69.3303494
521.16,69.3392469
521.805,69.3477958
522.45,69.3236531
523.095,69.2548394
523.74,69.1727494
524.385,69.1260261
525.03,69.1140715
525.675,69.1044543
526.32,69.0728625
526.965,69.005799
527.61,68.892411
528.255,68.7507814
528.9,68.6364312
529.545,68.6020533
530.19,68.6742048
530.835,68.826551
531.48,68.9742454
532.125,69.0639514
532.77,69.1075402
533.415,69.1468767
534.06,69.2191272
534.705,69.3262978
535.35,69.4354225
535.995,69.5301276
536.64,69.6188959
537.285,69.6944922
537.93,69.7433364
538.575,69.7613107
539.22,69.7563698
539.865,69.75049
540.51,69.7557417
541.155,69.7463404
541.8,69.6917997
542.445,69.6115273
543.09,69.5652706
543.735,69.5927448
544.38,69.6839838
545.025,69.8057871
545.67,69.9494599
546.315,70.1039092
546.96,70.2331559
547.605,70.3387014
548.25,70.4440921
548.895,70.5437805
549.54,70.6089636
550.185,70.6253819
550.83,70.608657
551.475,70.5799699
552.12,70.5524052
552.765,70.5391664
553.41,70.5559589
554.055,70.6042569
554.7,70.6609376
555.345,70.7012938
555.99,70.7269582
556.635,70.7524597
557.28,70.7869778
557.925,70.8393515
558.57,70.9212911
559.215,71.0446902
559.86,71.2160754
560.505,71.428714
561.15,71.6495349
561.795,71.8297454
562.44,71.9567032
563.085,72.0427946
563.73,72.0984426
564.375,72.1358874
565.02,72.1705608
565.665,72.2058757
566.31,72.2249678
566.955,72.2018227
567.6,72.1478803
568.245,72.1401386
568.89,72.2394945
569.535,72.4350095
570.18,72.6550332
570.825,72.8117157
571.47,72.8787157
572.115,72.84617113
572.76,72.8545355
573.405,72.99957783
574.05,73.13048913
574.695,73.190959
575.34,73.1948079
575.985,73.1888783
576.63,73.1641979
577.275,73.1063146
577.92,73.0250255
578.565,72.947125
579.21,72.8974098
579.855,72.8835234
580.5,72.8820236
581.145,72.8709167
581.79,72.863305
582.435,72.8794328
583.08,72.9424329
583.725,73.0727359
584.37,73.2370175
585.015,73.3676139
585.66,73.4496597
586.305,73.514488
586.95,73.5977644
587.595,73.7121133
588.24,73.824992
588.885,73.8722125
589.53,73.8420553
590.175,73.7864734
590.82,73.7552536
591.465,73.7675694
592.11,73.8056087
592.755,73.8389385
593.4,73.8631434
594.045,73.9023072
594.69,73.9818522
595.335,74.0771858
595.98,74.1086373
596.625,74.0455715
597.27,73.9422308
597.915,73.8577841
598.56,73.7933503
599.205,73.7295723
599.85,73.6785473
600.495,73.6621761
601.14,73.6806235
601.785,73.7201553
602.43,73.7646091
603.075,73.8124382
603.72,73.8765849
604.365,73.9481621
605.01,74.0073045
605.655,74.053233
606.3,74.1038354
606.945,74.1723055
607.59,74.255761
608.235,74.3423438
608.88,74.429902
609.525,74.5357418
610.17,74.6760142
610.815,74.8329049
611.46,74.9232028
612.105,74.9613835
612.75,75.0101041
613.395,75.0914312
614.04,75.189689
614.685,75.2648855
615.33,75.2980506
615.975,75.3230115
616.62,75.4102855
617.265,75.6239263
617.91,75.9327089
618.555,76.2395048
619.2,76.5420286
619.845,76.9085434
620.49,77.2897071
621.135,77.5267505
621.78,77.5990699
622.425,77.6083973
623.07,77.6130426
623.715,77.6331451
624.36,77.6906851
625.005,77.7955764
625.65,77.8967664
626.295,77.9144667
626.94,77.8565827
627.585,77.7738536
628.23,77.6896621
628.875,77.6304983
629.52,77.6374342
630.165,77.7174966
630.81,77.8259791
631.455,77.9292721
632.1,78.0227751
632.745,78.1042152
633.39,78.1746234
634.035,78.2530769
634.68,78.375062
635.325,78.5684983
635.97,78.7992423
636.615,78.98393386
637.26,79.03632117
637.905,78.95641733
638.55,78.85976967
639.195,78.9447843
639.84,78.932431
640.485,78.9466988
641.13,78.9876387
641.775,79.058024
642.42,79.1457747
643.065,79.2161926
643.71,79.2460226
644.355,79.2435063
645,79.2391671
645.645,79.2781113
646.29,79.4073114
646.935,79.635115
647.58,79.8603906
648.225,79.9791582
648.87,79.9972931
649.515,79.9535388
650.16,79.898236
650.805,79.8788018
651.45,79.9106572
652.095,79.9876792
652.74,80.1025513
653.385,80.2393134
654.03,80.3639067
654.675,80.4695237
655.32,80.5841132
655.965,80.732601
656.61,80.9050283
657.255,81.0568933
657.9,81.1531797
658.545,81.1725486
659.19,81.1112599
659.835,81.0131658
660.48,80.9196791
661.125,80.8493336
661.77,80.8150511
662.415,80.8189943
663.06,80.8454305
663.705,80.8960064
664.35,81.0000367
664.995,81.1426567
665.64,81.2539753
666.285,81.3139452
666.93,81.3434855
667.575,81.3632762
668.22,81.3821461
668.865,81.4054299
669.51,81.443233
670.155,81.5102937
670.8,81.5958737
671.445,81.6526925
672.09,81.6556212
672.735,81.6415502
673.38,81.6703574
674.025,81.7764735
674.67,81.9385376
675.315,82.0755631
675.96,82.1324846
676.605,82.1448227
677.25,82.1598424
677.895,82.1792038
678.54,82.1862755
679.185,82.1810256
679.83,82.1802737
680.475,82.1968925
681.12,82.2313474
681.765,82.2839272
682.41,82.3501962
683.055,82.4087634
683.7,82.4489567
684.345,82.4785138
684.99,82.4930164
685.635,82.482585
686.28,82.4537781
686.925,82.4275312
687.57,82.4148063
